"Group","","#","Mnemonic","Flag Set","O1","O2","O3","O4","","opcode_name","","t_O1","","t_O2","","t_O3","","t_O4","","FT","FO","swz","c_F","s_O1","s_O2","s_O3","s_O4","Chk","enc","","","","","","","","","","","","","","","","","",""
"","","93","LOADH","STORE_LOAD","r_dst","r_src_addr","","","Reg[Rd] = Mem[Reg[Rs]] (16 bit load)
If I, Reg[Rs] += 2
If X, sign-extend Reg[Rd]","LOADH","1","Reg","6","Reg","6","","0","","0","","","1234","2","6","6","0","0","14","F2_B6_B6","","","","","","","","","","","","","","","","","",""
"","","94","LOADW","STORE_LOAD","r_dst","r_src_addr","","","Reg[Rd] = Mem[Reg[Rs]] (32 bit load)
If I, Reg[Rs] += 4
If X, sign-extend Reg[Rd]","LOADW","1","Reg","6","Reg","6","","0","","0","","","1234","2","6","6","0","0","14","F2_B6_B6","","","","","","","","","","","","","","","","","",""
"","","95","STOREB","","addr","r_src","","","Mem[Imm] = Reg[Rs] (8 bit store)","STOREB_I","1","U18","18","Reg","6","","0","","0","Abs","1","21","0","6","18","","","24","B6_B18","","","","","","","","","","","","","","","","","",""
"","","96","STOREH","","addr","r_src","","","Mem[Imm] = Reg[Rs] (16 bit store)","STOREH_I","1","U18","18","Reg","6","","0","","0","Abs","1","21","0","6","18","","","24","B6_B18","","","","","","","","","","","","","","","","","",""
"","","97","STOREW","","addr","r_src","","","Mem[Imm] = Reg[Rs] (32 bit store)","STOREW_I","1","U18","18","Reg","6","","0","","0","Abs","1","21","0","6","18","","","24","B6_B18","","","","","","","","","","","","","","","","","",""
"","","98","STOREB","STORE_LOAD","r_dst_addr","r_src","","","Mem[Reg[Rd]] = Reg[Rs] (8 bit store)
If I, Reg[Rd] += 1","STOREB","1","Reg","6","Reg","6","","0","","0","","","1234","2","6","6","0","0","14","F2_B6_B6","","","","","","","","","","","","","","","","","",""
"","","99","STOREH","STORE_LOAD","r_dst_addr","r_src","","","Mem[Reg[Rd]] = Reg[Rs] (16 bit store)
If I, Reg[Rd] += 1","STOREH","1","Reg","6","Reg","6","","0","","0","","","1234","2","6","6","0","0","14","F2_B6_B6","","","","","","","","","","","","","","","","","",""
"","","100","STOREW","STORE_LOAD","r_dst_addr","r_src","","","Mem[Reg[Rd]] = Reg[Rs] (32 bit store)
If I, Reg[Rd] += 1","STOREW","1","Reg","6","Reg","6","","0","","0","","","1234","2","6","6","0","0","14","F2_B6_B6","","","","","","","","","","","","","","","","","",""
"","","101","LOADXB","STORE_LOAD","r_dst","r_src_addr","r_off","","Reg[Rd] = Mem[Reg[Rsrc] & 0x3FFFF + Reg[Roff]]
IF I THEN increment low 18 bits of Reg[Rsrc] by upper 14 bits
IF X THEN sign-extend Reg[Rd]
(8 bit load)","LOADXB","1","Reg","6","Reg","6","Reg","6","","0","","","1234","2","6","6","6","0","20","F2_B6_B6_B6","","","","","","","","","","","","","","","","","",""
"","","102","LOADXH","STORE_LOAD","r_dst","r_src_addr","r_off","","Reg[Rd] = Mem[Reg[Rsrc] & 0x3FFFF + Reg[Roff]]
IF I THEN increment low 18 bits of Reg[Rsrc] by upper 14 bits
IF X THEN sign-extend Reg[Rd]
(16 bit load)","LOADXH","1","Reg","6","Reg","6","Reg","6","","0","","","1234","2","6","6","6","0","20","F2_B6_B6_B6","","","","","","","","","","","","","","","","","",""
"","","103","LOADXW","STORE_LOAD","r_dst","r_src_addr","r_off","","Reg[Rd] = Mem[Reg[Rsrc] & 0x3FFFF + Reg[Roff]]
IF I THEN increment low 18 bits of Reg[Rsrc] by upper 14 bits
IF X THEN sign-extend Reg[Rd]
(32 bit load)","LOADXW","1","Reg","6","Reg","6","Reg","6","","0","","","1234","2","6","6","6","0","20","F2_B6_B6_B6","","","","","","","","","","","","","","","","","",""
